breed,age,weight,color,gender,purchase_date
Devon Rex,18,8,White,Male,2021-1-26
Devon Rex,14,2,Gray,Male,2014-3-12
Norwegian Forest,1,2,Tortoiseshell,Male,2015-6-28
Scottish Fold,2,4,Tortoiseshell,Male,2020-11-16
Siberian,7,7,Cream,Male,2024-10-24
Birman,10,9,Bicolor,Female,2020-6-9
Ocicat,6,9,Tricolor,Male,2024-12-28
Savannah,13,5,Calico,Female,2012-3-2
Balinese,11,8,Tabby,Female,2012-2-21
British Shorthair,17,2,Cream,Female,2017-5-9
Oriental,18,4,Calico,Female,2022-5-8
Munchkin,5,8,Red,Female,2024-10-9
Ocicat,15,2,Gray,Female,2022-5-5
Norwegian Forest,14,9,Cream,Male,2018-9-25
Ragdoll,18,4,Tabby,Female,2017-10-12
Egyptian Mau,7,9,Sable,Male,2016-2-9
Russian Blue,11,7,Blue,Male,2024-1-10
American Shorthair,6,3,Bicolor,Male,2013-7-3
Himalayan,5,9,Cream,Female,2010-5-19
Scottish Fold,5,4,Tricolor,Male,2011-9-3
Siamese,19,6,Gray,Male,2012-3-11
Maine Coon,19,9,Brown,Female,2017-3-8
Savannah,11,5,Gray,Female,2018-11-9
Ragdoll,12,4,Pointed,Female,2017-2-21
Russian Blue,15,5,Tabby,Male,2023-8-30
Bengal,17,9,White,Female,2017-6-2
Singapura,2,4,Tricolor,Female,2012-12-1
Maine Coon,9,5,Blue,Female,2023-6-8
Himalayan,8,9,Tabby,Male,2015-4-29
Persian,6,9,Gray,Male,2011-11-16
Abyssinian,16,7,Red,Female,2012-4-6
Burmese,10,3,Red,Female,2016-7-30
Singapura,1,6,Cream,Male,2014-12-12
Bengal,15,6,Tricolor,Male,2024-1-13
Ragdoll,3,6,Pointed,Female,2021-7-7
Sphynx,5,8,Sable,Male,2013-12-10
British Shorthair,1,8,Pointed,Male,2018-6-17
Ragdoll,6,4,Pointed,Female,2010-4-12
Siamese,18,9,Brown,Female,2014-10-20
Manx,5,8,White,Male,2012-7-16
Birman,1,6,Bicolor,Male,2010-8-27
Munchkin,18,2,Red,Female,2015-10-14
Maine Coon,18,2,Cream,Female,2015-6-25
Munchkin,9,8,Sable,Male,2022-12-5
Bengal,10,8,Pointed,Female,2014-9-28
Singapura,5,6,Black,Female,2022-2-5
Persian,10,7,Gray,Male,2013-12-11
Burmese,13,6,Red,Female,2010-2-2
Siberian,17,4,Pointed,Female,2018-10-18
Egyptian Mau,4,8,White,Female,2024-7-7
Oriental,1,6,Black,Male,2016-8-9
Chartreux,15,5,Pointed,Female,2017-1-16
Sphynx,1,7,Calico,Female,2015-5-10
Maine Coon,12,3,White,Female,2025-11-17
Abyssinian,2,4,Red,Female,2025-11-17
Exotic Shorthair,19,4,Tortoiseshell,Female,2019-5-21
Birman,15,8,Red,Female,2021-4-7
Tonkinese,13,2,Pointed,Female,2010-3-26
Balinese,9,4,Blue,Female,2010-3-22
Abyssinian,6,4,Black,Male,2021-10-15
Ragdoll,3,8,Cream,Female,2011-2-10
Chartreux,18,3,Cream,Female,2019-2-22
Ocicat,16,7,Blue,Female,2021-1-15
Russian Blue,4,9,Tricolor,Female,2012-5-16
Ragdoll,17,5,Cream,Female,2017-12-6
British Shorthair,19,8,Tortoiseshell,Female,2023-1-5
Balinese,6,3,Gray,Male,2014-5-13
Abyssinian,19,7,Tortoiseshell,Male,2023-7-9
Egyptian Mau,8,7,Gray,Male,2011-12-12
Persian,18,7,Sable,Female,2022-1-4
Sphynx,5,5,Calico,Male,2023-6-1
Ocicat,14,2,Gray,Female,2023-1-28
Savannah,16,7,Sable,Female,2016-3-10
Oriental,15,3,Tricolor,Male,2025-10-9
Egyptian Mau,19,3,Tricolor,Female,2013-6-29
Abyssinian,1,3,Tabby,Male,2022-7-2
Chartreux,5,6,Tricolor,Male,2020-1-28
Sphynx,7,6,Gray,Male,2010-3-29
Munchkin,13,8,Tricolor,Male,2020-7-13
Birman,4,9,Tricolor,Male,2010-3-29
Savannah,19,7,Gray,Male,2022-6-4
Turkish Angora,14,3,Blue,Male,2010-6-27
Persian,18,4,Bicolor,Female,2023-8-25
Birman,2,2,Bicolor,Female,2012-2-23
Egyptian Mau,19,4,Orange,Male,2017-6-9
British Shorthair,13,2,Tortoiseshell,Male,2014-5-16
Manx,16,9,Sable,Female,2012-7-12
Scottish Fold,8,8,Sable,Male,2010-4-3
Egyptian Mau,3,8,Brown,Male,2021-6-6
Siamese,8,7,Pointed,Female,2019-12-16
Ocicat,14,8,Cream,Male,2018-2-19
Cornish Rex,17,2,Sable,Female,2018-3-25
Persian,2,6,White,Female,2019-4-12
Egyptian Mau,17,8,Calico,Female,2016-1-2
Singapura,14,2,Tabby,Female,2022-11-11
Turkish Angora,6,8,Calico,Male,2025-11-15
Persian,19,9,Cream,Male,2012-5-9
Egyptian Mau,17,3,Calico,Male,2013-2-27
British Shorthair,13,9,Gray,Female,2016-7-30
Maine Coon,5,9,Sable,Female,2015-4-20
Russian Blue,17,3,Pointed,Female,2012-7-4
Ocicat,15,7,Black,Female,2018-3-10
Manx,9,7,Blue,Male,2012-8-21
American Shorthair,15,8,Gray,Male,2020-5-10
Siberian,18,2,White,Male,2010-8-24
Oriental,11,8,Tricolor,Male,2019-12-6
Bengal,15,6,Red,Female,2021-8-5
Manx,7,4,Pointed,Female,2013-7-11
Exotic Shorthair,14,6,Calico,Male,2013-11-28
Ocicat,5,6,Pointed,Female,2017-8-19
Himalayan,16,9,Gray,Male,2021-8-27
Ragdoll,15,4,Red,Female,2024-3-14
Siamese,11,3,Tricolor,Female,2020-6-12
Balinese,12,8,Blue,Female,2012-6-14
Siberian,15,7,Red,Female,2019-12-20
Manx,12,8,Tabby,Female,2014-12-21
Norwegian Forest,3,5,Blue,Male,2018-3-21
Cornish Rex,1,6,Tabby,Female,2018-4-4
Bengal,15,3,Tortoiseshell,Female,2023-7-17
Oriental,7,2,Blue,Male,2014-4-6
Bengal,19,6,Red,Male,2010-6-13
Himalayan,15,6,Calico,Male,2017-8-25
American Shorthair,14,9,Tortoiseshell,Female,2014-5-3
Siberian,13,8,Pointed,Female,2017-8-12
Siberian,6,2,Cream,Male,2019-5-29
Cornish Rex,9,9,Blue,Male,2014-3-20
Siamese,9,5,Gray,Female,2019-4-7
Ragdoll,16,5,Red,Female,2022-5-30
Oriental,11,4,Brown,Female,2022-7-19
Singapura,11,7,Tricolor,Female,2015-8-2
Cornish Rex,18,2,Red,Female,2024-1-18
Singapura,1,9,Calico,Male,2015-11-8
Tonkinese,8,3,Brown,Male,2020-2-24
Tonkinese,7,3,Tortoiseshell,Male,2015-5-21
Russian Blue,3,5,Gray,Female,2017-10-5
Norwegian Forest,2,4,White,Female,2023-7-4
Siamese,17,7,Calico,Female,2023-11-26
Singapura,14,4,Tricolor,Female,2019-2-7
Egyptian Mau,18,8,White,Female,2022-3-20
British Shorthair,8,3,Black,Male,2016-8-2
Turkish Angora,2,7,Pointed,Male,2020-11-5
Devon Rex,3,7,Bicolor,Female,2021-12-28
Exotic Shorthair,1,8,Bicolor,Female,2015-2-2
Munchkin,19,4,Black,Male,2015-11-18
Norwegian Forest,7,7,Cream,Male,2020-12-17
Singapura,7,5,White,Female,2017-11-19
Birman,4,5,Bicolor,Male,2012-4-2
Persian,5,4,Cream,Female,2013-7-4
Scottish Fold,19,5,Black,Female,2016-4-10
Savannah,7,7,Gray,Male,2019-2-21
Siberian,15,8,Calico,Female,2012-4-22
Abyssinian,16,5,Black,Female,2022-12-9
British Shorthair,18,4,Calico,Female,2021-9-22
Siberian,2,5,Tabby,Male,2015-2-10
Chartreux,10,9,Orange,Male,2023-9-10
Norwegian Forest,18,2,Tortoiseshell,Female,2015-11-28
Oriental,12,5,Blue,Male,2016-10-11
British Shorthair,1,6,Tricolor,Female,2025-6-1
Chartreux,4,3,Tabby,Female,2011-12-5
Savannah,5,2,Black,Male,2017-7-23
American Shorthair,16,4,Tricolor,Female,2016-5-18
Abyssinian,6,3,White,Male,2011-2-2
Munchkin,5,6,Red,Female,2017-6-30
Maine Coon,10,3,Brown,Female,2011-1-12
Oriental,17,5,Blue,Female,2011-4-17
Siamese,17,3,Gray,Female,2011-11-10
American Shorthair,6,9,Pointed,Male,2019-5-6
Munchkin,1,4,Tortoiseshell,Female,2024-4-29
Turkish Angora,4,5,Orange,Male,2017-2-20
Sphynx,9,9,Orange,Male,2020-2-9
Ocicat,10,5,Tricolor,Male,2016-12-28
Tonkinese,11,6,Tricolor,Male,2024-1-7
Bengal,7,8,Cream,Female,2014-6-7
Exotic Shorthair,13,7,Black,Female,2021-9-9
American Shorthair,12,9,Black,Male,2025-6-21
Munchkin,3,3,Tortoiseshell,Male,2020-8-3
Turkish Angora,18,7,Pointed,Male,2016-1-18
Exotic Shorthair,8,9,Calico,Male,2020-12-15
American Shorthair,8,6,Tricolor,Male,2010-4-10
Maine Coon,7,8,Blue,Female,2014-10-12
Russian Blue,6,5,Sable,Male,2016-2-8
Persian,10,5,Blue,Male,2016-11-11
Oriental,13,8,Bicolor,Female,2016-9-2
Devon Rex,9,6,Orange,Female,2018-5-24
Siamese,2,8,Calico,Male,2019-11-6
Birman,15,5,Tabby,Male,2014-2-1
Egyptian Mau,14,8,Sable,Male,2019-8-16
Exotic Shorthair,16,7,Black,Female,2018-3-19
Scottish Fold,5,7,Red,Female,2014-9-14
Devon Rex,3,3,Cream,Male,2021-3-17
Singapura,8,2,Blue,Female,2023-4-11
Ocicat,14,7,Gray,Male,2020-3-3
Burmese,9,8,Tortoiseshell,Female,2010-10-18
Burmese,6,6,Bicolor,Female,2017-10-17
Maine Coon,8,4,Tabby,Male,2016-6-10
Persian,16,2,Sable,Male,2010-12-16
Sphynx,16,4,Black,Female,2012-12-9
Burmese,10,5,Pointed,Male,2012-5-10
Siamese,10,2,Orange,Female,2015-4-15
Norwegian Forest,12,5,Brown,Female,2015-3-27
Ragdoll,4,9,White,Male,2010-3-8
Munchkin,8,5,Sable,Female,2021-8-10
Turkish Angora,19,9,Bicolor,Female,2025-5-16
Sphynx,9,9,Red,Female,2013-1-7
Savannah,2,9,White,Male,2016-7-26
Egyptian Mau,4,8,Sable,Female,2025-4-30
Burmese,19,7,Black,Male,2014-7-25
British Shorthair,18,6,Brown,Male,2025-7-6
Balinese,15,8,Red,Female,2015-6-24
British Shorthair,11,8,Calico,Male,2018-7-2
Munchkin,11,4,Bicolor,Male,2022-3-30
Egyptian Mau,12,8,Calico,Male,2017-1-14
British Shorthair,14,7,Tortoiseshell,Female,2020-4-5
Siamese,15,3,Black,Male,2023-9-20
Munchkin,6,6,Pointed,Male,2020-11-26
Munchkin,11,6,Blue,Female,2011-7-19
British Shorthair,8,4,Pointed,Male,2017-4-28
Sphynx,18,6,Cream,Male,2023-6-13
Ocicat,6,9,Orange,Male,2014-11-16
Sphynx,7,4,Red,Female,2012-11-2
Siberian,12,6,Orange,Male,2013-10-15
Oriental,12,2,Black,Male,2024-1-24
Bengal,18,9,Blue,Male,2022-8-19
Tonkinese,19,4,Bicolor,Female,2017-5-6
Siberian,6,3,Orange,Female,2025-12-30
Chartreux,18,8,Blue,Female,2016-4-23
Ocicat,9,7,Orange,Male,2023-7-13
Himalayan,18,6,Black,Female,2015-5-12
Ragdoll,11,7,Brown,Male,2024-11-22
Siberian,8,8,Calico,Male,2014-9-12
Egyptian Mau,12,2,Tricolor,Female,2020-8-26
Singapura,15,7,Pointed,Male,2010-5-4
Birman,1,3,Red,Male,2019-3-13
Manx,2,8,Calico,Male,2022-1-1
Chartreux,2,6,Pointed,Male,2023-5-1
Siberian,5,6,Bicolor,Female,2024-4-30
Sphynx,13,7,Blue,Male,2010-11-14
Tonkinese,9,7,Orange,Male,2021-7-6
Devon Rex,19,7,Orange,Male,2021-8-3
Manx,13,5,Tabby,Male,2021-7-20
Turkish Angora,4,6,Calico,Male,2021-6-5
Cornish Rex,11,3,Orange,Male,2010-1-22
Sphynx,8,3,Tricolor,Female,2015-11-7
Maine Coon,15,2,Sable,Male,2017-8-26
Sphynx,9,5,Cream,Male,2019-5-11
British Shorthair,15,2,Tortoiseshell,Male,2019-7-25
Russian Blue,4,9,Gray,Male,2010-8-28
Singapura,4,8,Orange,Female,2020-6-10
Scottish Fold,18,2,Sable,Female,2025-9-30
Ocicat,13,6,Bicolor,Female,2024-2-8
Tonkinese,14,8,Sable,Male,2021-5-1
Turkish Angora,8,2,Tricolor,Female,2024-7-15
Birman,16,4,Brown,Male,2022-12-4
Abyssinian,15,5,Sable,Male,2023-11-8
Siberian,8,6,Brown,Female,2025-10-28
Sphynx,11,4,Tortoiseshell,Male,2010-12-6
Norwegian Forest,14,3,Red,Male,2010-9-29
Ocicat,19,5,Tortoiseshell,Male,2011-5-7
Scottish Fold,2,9,Sable,Female,2025-11-22
Ragdoll,12,3,Tabby,Male,2019-2-15
Scottish Fold,19,7,Cream,Male,2025-5-17
American Shorthair,15,8,Brown,Male,2025-8-6
Manx,6,3,Tricolor,Female,2011-1-15
Ocicat,9,6,White,Male,2020-5-20
Manx,19,4,Orange,Female,2025-4-13
Ragdoll,3,5,Orange,Female,2025-6-13
Exotic Shorthair,12,6,White,Male,2012-12-3
Turkish Angora,13,2,Calico,Female,2015-3-21
American Shorthair,12,5,Tabby,Female,2021-4-17
Sphynx,9,6,Tricolor,Female,2019-5-8
Singapura,5,9,Sable,Male,2013-8-27
Bengal,18,5,Brown,Female,2017-4-3
Himalayan,13,9,Cream,Male,2020-5-5
Sphynx,18,5,Calico,Female,2015-2-8
Burmese,11,8,Brown,Female,2025-12-11
Ragdoll,17,6,Tabby,Male,2021-10-2
Sphynx,11,3,Orange,Female,2011-2-16
Birman,12,8,Tricolor,Female,2011-12-2
Bengal,3,3,Tabby,Male,2015-8-30
Singapura,11,8,Blue,Female,2012-1-9
Himalayan,13,6,White,Female,2012-1-12
Cornish Rex,18,5,Bicolor,Female,2013-11-24
Burmese,8,3,Brown,Male,2016-4-4
Maine Coon,17,4,Sable,Female,2018-5-28
American Shorthair,11,2,Blue,Male,2017-1-30
Maine Coon,3,2,Brown,Male,2013-6-20
Turkish Angora,16,4,Black,Female,2024-2-24
Himalayan,12,9,Pointed,Female,2015-11-22
Abyssinian,15,8,Sable,Female,2018-7-1
Chartreux,10,4,Tricolor,Female,2012-1-30
Savannah,4,4,Black,Female,2021-5-25
Turkish Angora,17,5,Blue,Male,2018-12-24
Devon Rex,1,3,Tabby,Female,2023-5-10
Balinese,14,4,Blue,Female,2015-3-2
Maine Coon,7,6,Tortoiseshell,Male,2019-1-1
Himalayan,5,7,Brown,Female,2022-2-27
Exotic Shorthair,4,2,Gray,Male,2024-12-13
Russian Blue,18,2,Sable,Female,2017-10-24
Tonkinese,17,4,Brown,Male,2016-12-2
Turkish Angora,8,3,Black,Male,2016-12-5
Tonkinese,12,4,Tabby,Male,2015-11-7
Persian,3,6,Blue,Female,2023-3-29
Siamese,9,4,White,Female,2020-12-28
Egyptian Mau,9,5,Bicolor,Female,2016-3-18
Cornish Rex,7,9,Orange,Male,2017-9-18
Munchkin,2,8,Orange,Male,2020-8-20
Manx,5,8,Brown,Male,2022-6-25
Turkish Angora,12,8,Cream,Male,2023-3-16
American Shorthair,6,8,Pointed,Male,2010-8-25
Savannah,8,4,Bicolor,Male,2014-7-9
Balinese,11,5,Brown,Female,2012-11-7
Oriental,10,3,Tortoiseshell,Male,2018-5-28
Turkish Angora,19,8,Gray,Male,2011-12-19
Persian,6,7,Brown,Female,2011-8-9
Russian Blue,14,8,Gray,Female,2013-2-11
Tonkinese,16,3,Calico,Female,2024-1-2
Oriental,13,9,Bicolor,Female,2020-1-29
American Shorthair,12,6,Brown,Female,2025-1-20
Bengal,1,3,Orange,Female,2025-10-22
Abyssinian,15,5,Red,Male,2020-5-30
Ragdoll,8,3,Bicolor,Female,2018-11-11
Devon Rex,1,5,Tortoiseshell,Female,2024-1-2
Russian Blue,2,6,Gray,Male,2015-5-8
Sphynx,16,5,Pointed,Male,2015-9-21
Balinese,14,4,Tortoiseshell,Female,2014-3-23
Siberian,12,8,Gray,Male,2016-11-8
Devon Rex,16,3,Bicolor,Male,2012-11-12
Siberian,5,8,Gray,Female,2017-7-30
American Shorthair,11,8,Blue,Male,2015-8-24
Egyptian Mau,8,2,Brown,Male,2022-9-7
Himalayan,11,8,Cream,Female,2017-6-10
Abyssinian,12,4,Calico,Female,2016-1-19
Singapura,1,7,Red,Female,2021-9-26
Himalayan,18,8,Tricolor,Female,2021-9-25
Turkish Angora,13,8,Gray,Male,2025-8-19
Exotic Shorthair,12,5,Gray,Male,2022-8-16
Ragdoll,16,9,Red,Female,2019-7-13
Scottish Fold,3,7,Tricolor,Male,2011-7-1
Balinese,3,7,Brown,Male,2016-11-13
Scottish Fold,11,7,Brown,Male,2016-7-4
Maine Coon,5,4,Pointed,Female,2023-7-4
Cornish Rex,5,4,Black,Female,2012-1-28
Balinese,13,4,Red,Male,2023-11-19
Devon Rex,18,8,Bicolor,Male,2017-4-18
Scottish Fold,17,8,Tortoiseshell,Male,2020-4-4
American Shorthair,16,4,Tricolor,Male,2025-1-23
Munchkin,7,5,Black,Female,2020-1-9
Singapura,7,3,Tabby,Male,2022-9-27
Cornish Rex,17,3,Cream,Male,2025-7-27
Balinese,10,4,Orange,Female,2013-6-26
Devon Rex,14,2,Calico,Male,2024-4-15
Siamese,10,9,Blue,Male,2020-7-1
British Shorthair,3,3,Orange,Male,2021-12-20
Oriental,10,5,Tricolor,Male,2020-2-16
Siamese,15,8,White,Female,2023-10-23
Balinese,5,5,Blue,Male,2012-4-26
Russian Blue,1,3,Sable,Female,2023-1-9
Oriental,11,5,Cream,Male,2015-8-25
Manx,14,5,Calico,Female,2011-1-20
Munchkin,12,6,Bicolor,Male,2024-4-9
Chartreux,3,5,Red,Female,2024-12-12
Bengal,6,3,Tortoiseshell,Male,2011-2-22
Singapura,8,3,Orange,Male,2011-5-25
Bengal,18,7,Brown,Male,2023-11-7
Oriental,4,7,Sable,Male,2025-12-1
Scottish Fold,16,8,Tricolor,Male,2023-6-26
Russian Blue,3,2,Brown,Female,2016-7-2
Birman,17,4,Tabby,Female,2015-2-19
Maine Coon,19,3,Tortoiseshell,Female,2025-3-28
Sphynx,19,5,Black,Female,2016-12-25
Abyssinian,11,7,White,Male,2025-11-8
Persian,19,7,Sable,Male,2011-6-25
Singapura,4,2,Orange,Female,2010-10-4
Maine Coon,18,6,Tabby,Male,2013-2-2
Singapura,8,9,Orange,Female,2014-9-26
Ragdoll,11,8,Gray,Male,2018-1-14
Manx,15,7,Black,Male,2010-9-22
American Shorthair,6,2,Cream,Female,2022-3-6
Burmese,12,5,Tricolor,Male,2023-6-13
American Shorthair,11,3,Bicolor,Male,2020-4-21
Balinese,11,8,Calico,Male,2021-4-6
Munchkin,10,8,Calico,Female,2012-1-5
Birman,4,2,Sable,Male,2017-3-23
American Shorthair,12,8,Tortoiseshell,Female,2012-4-29
Manx,1,5,Red,Female,2017-11-18
Burmese,7,6,Brown,Female,2022-10-25
Abyssinian,2,7,Cream,Female,2018-2-28
Scottish Fold,13,2,White,Female,2023-1-17
Ocicat,10,9,Cream,Male,2023-5-9
Munchkin,12,5,Brown,Male,2023-5-30
Burmese,4,4,White,Male,2012-7-10
American Shorthair,10,3,Tortoiseshell,Male,2010-8-28
Ragdoll,9,5,Tortoiseshell,Male,2011-10-2
Russian Blue,9,4,Brown,Female,2021-5-11
Egyptian Mau,10,3,Pointed,Male,2011-2-7
Siberian,14,7,Bicolor,Male,2017-7-22
Tonkinese,16,9,Pointed,Female,2021-4-2
Persian,16,3,Tabby,Male,2014-9-4
Scottish Fold,5,3,Blue,Female,2016-1-14
Ragdoll,2,4,Tricolor,Female,2018-1-14
British Shorthair,6,2,Red,Male,2013-8-6
Ocicat,11,7,Sable,Male,2022-4-24
Ragdoll,1,4,Tortoiseshell,Male,2022-7-17
Manx,7,8,Orange,Female,2017-7-17
British Shorthair,4,4,Blue,Female,2023-8-19
Egyptian Mau,17,5,Sable,Female,2016-3-5
Siamese,4,5,White,Male,2025-4-18
American Shorthair,7,6,Cream,Female,2011-4-28
American Shorthair,10,9,Red,Female,2013-3-8
British Shorthair,6,4,Cream,Male,2017-5-7
Balinese,12,4,Orange,Male,2010-1-22
Savannah,18,6,Tortoiseshell,Female,2012-9-24
Tonkinese,12,4,Tortoiseshell,Male,2011-3-10
Persian,4,9,Calico,Female,2023-6-1
Bengal,15,4,Brown,Female,2012-1-20
Siberian,15,6,Tabby,Female,2011-3-18
Oriental,17,6,Blue,Male,2025-10-10
Siamese,4,6,Pointed,Male,2019-5-20
Maine Coon,7,3,White,Female,2010-2-2
Russian Blue,12,5,Calico,Female,2019-3-25
Norwegian Forest,7,6,Bicolor,Female,2016-4-6
Tonkinese,3,3,Red,Female,2015-10-30
Maine Coon,1,9,Sable,Male,2014-6-25
Cornish Rex,2,7,Tabby,Male,2012-8-3
Russian Blue,5,5,White,Male,2013-7-5
Sphynx,14,9,White,Male,2023-4-25
British Shorthair,9,9,White,Male,2010-9-22
Maine Coon,8,6,Tabby,Female,2020-6-16
Scottish Fold,18,9,Red,Male,2017-12-15
British Shorthair,9,7,Tabby,Female,2021-11-10
Exotic Shorthair,6,4,Calico,Female,2013-4-22
British Shorthair,2,4,Tabby,Female,2012-6-10
British Shorthair,19,5,Gray,Female,2020-6-6
British Shorthair,11,2,Bicolor,Female,2022-3-9
Savannah,12,5,Bicolor,Female,2019-11-29
American Shorthair,8,3,Tortoiseshell,Female,2011-9-13
Chartreux,11,4,Sable,Female,2023-9-8
